TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 0
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 16:21:14:611, 16:21:26:289, 0, 11.6781, 1, 150, 0.00206331
47153927320151812, nigh%4:02:01::, 16:21:13:058, 16:21:13:165, -0.151142, 0.107211, 1,  - , 32.4379
100398303668292746, reach_out%2:42:00::, 16:21:13:935, 16:21:14:046, 0, 0.110229, 1,  - , 23.0007
129180190883819739, other, 16:21:15:128, 16:21:33:829, 13.1347, 18.7011, 1, 200, 0.00164033
129572895285309251, can, 16:21:13:489, 16:21:33:829, 22.5056, 20.3397, 1, 300, 11.6691
144931678328509651, are.v@1e650a7b-3d79-4cec-8c10-823079c01276, 16:21:13:935, 16:21:32:854, 0.107283, 18.919, 0,  - , 1.0007
179767431985896456, genus, 16:21:30:498, 16:21:33:829, 11.0854, 3.33065, 1,  - ,  - 
210434859087051122, eyes, 16:21:28:162, 16:21:33:829, 2.89887, 5.66673, 1,  - ,  - 
224914245004177916, ., 16:21:12:955, 16:21:33:829, 581.19, 20.8741, 0, 4850, 198.137
238713097465677210, in, 16:21:13:272, 16:21:33:829, 121.981, 20.557, 1, 1200, 62.2576
247278477959661152, woodlouse, 16:21:12:955, 16:21:33:829, 15.7242, 20.8741, 1, 100, 9.173
255020866638450161, belong, 16:21:17:005, 16:21:28:287, -11.2332, 11.282, 1, 50, 0.00164036
264445346224138826, family, 16:21:17:123, 16:21:27:516, 0, 10.3931, 1, 200, 0.00164087
265731375988535778, Wd@5ceffa2e-1762-43d5-9047-f67515c97cae, 16:21:13:489, 16:21:13:713, 1.30169e-05, 0.224015, 0,  - , 29.3334
347577561876376571, WV@c1858f79-4948-4ba9-8807-b77313445d5b, 16:21:13:489, 16:21:13:713, 1.30168e-05, 0.224015, 0,  - , 22.9168
383366309441692753, inward%4:02:01::, 16:21:13:601, 16:21:14:046, 0, 0.444858, 1,  - , 1.0007
384797615427064134, ), 16:21:13:825, 16:21:30:907, 0.394142, 17.0817, 0, 150, 0.00234631
385146408659962068, tropical.a@c920fb41-2ec8-4969-a9e3-98626591f16c, 16:21:30:627, 16:21:33:829, 2.76412, 3.20163, 0,  - , 1
395239978047675157, make, 16:21:28:422, 16:21:33:829, 15.328, 5.40686, 1,  - ,  - 
399753948675147298, LEFT-WALL@sentence@9d5acc46-4f6e-46f0-a4a8-1e22be2251a5_parse_0, 16:21:13:601, 16:21:33:829, 3.28161, 20.2279, 0,  - , 1.0007
403363269517810576, viruses, 16:21:19:882, 16:21:21:719, 1.72833, 1.83756, 0, 50, 0.000271219
421859122580166243, gather, 16:21:14:156, 16:21:27:641, 0, 13.4855, 1, 50, 0.00206277
436593519867491064, different, 16:21:19:647, 16:21:30:239, 1.77805, 10.5919, 1, 50, 0.00027122
443514927522192133, unlike, 16:21:13:272, 16:21:15:586, 0, 2.31433, 1, 50, 0.00129797
453159211574661157, strain%2:34:00::, 16:21:13:935, 16:21:14:046, 0, 0.110229, 1,  - , 22.0007
454213604292819815, do%2:36:02::, 16:21:13:272, 16:21:15:586, -0.694765, 2.31433, 1,  - , 1.26209
473458240976135659, habitats, 16:21:20:892, 16:21:30:767, 0.240207, 9.87463, 0,  - ,  - 
480216478043795619, very, 16:21:26:663, 16:21:33:829, 1.25285, 7.1655, 1,  - ,  - 
486914246794951718, feeding, 16:21:14:611, 16:21:26:289, 0, 11.6781, 1, 100, 0.00206312
515933874938020247, tasmania, 16:21:32:707, 16:21:33:829, 11.8719, 1.12184, 0,  - ,  - 
520734992546340339, by@cf1e99aa-ed7e-4fc8-8532-3d8134ff5a94, 16:21:13:935, 16:21:13:935, 0, 0, 0,  - , 1.5
533049664271630316, similar, 16:21:13:825, 16:21:33:829, 10.4775, 20.0034, 1, 150, 0.00234593
549817980321782562, comprise, 16:21:14:046, 16:21:26:152, 0, 12.1063, 1, 50, 0.00234508
560437915148262375, most%4:02:00::, 16:21:13:058, 16:21:13:165, -0.141198, 0.107211, 1,  - , 80.9379
627392787385518691, segmented, 16:21:18:195, 16:21:33:829, 14.9893, 15.6333, 0, 100, 0.00164023
