TOTAL_STIMULUS_REC: 708
NLP_parse_percentage_in_AF: 0
Logged_at: 08:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 1
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 16:51:50:326, 16:52:29:509, -3.99675e-31, 39.1833, 1, 150, 0.83491
37290646629144383, exists, 16:52:10:690, 16:52:22:034, 0, 11.3439, 0,  - ,  - 
47153927320151812, nigh%4:02:01::, 16:51:48:626, 16:51:50:326, -2.1185, 1.70018, 1,  - , 6.41332
58517991076101478, efficient, 16:52:34:490, 16:52:36:724, 5.52969, 2.23436, 1,  - ,  - 
129180190883819739, other, 16:51:50:818, 16:52:36:724, 6.0625, 45.9058, 1, 300, 0.501645
129572895285309251, can, 16:51:49:527, 16:52:36:724, 29.262, 47.1968, 1, 450, 53.5851
168631632392326241, or.j-n@580485ad-d61b-42a4-ab99-a917c620623b, 16:52:09:659, 16:52:09:659, 1.90158e-08, 0, 0,  - , 1
179767431985896456, genus, 16:52:06:133, 16:52:29:808, -3.99675e-31, 23.675, 1, 50, 0.000112613
188381308348081347, are.v@635e0287-0e79-4f24-9632-3d707c0363f1, 16:52:28:909, 16:52:33:144, 0, 4.2346, 1,  - , 0.75
189515668651138441, improvize%2:36:00::, 16:51:53:617, 16:51:54:711, 0, 1.094, 1,  - , 0.5
210434859087051122, eyes, 16:52:03:744, 16:52:12:063, 0, 8.31942, 1,  - ,  - 
224914245004177916, ., 16:51:48:522, 16:52:36:724, 992.126, 48.2017, 0, 7350, 50.2394
237818391852663106, exotoxin, 16:52:11:644, 16:52:18:924, 0.128923, 7.28074, 1,  - ,  - 
238713097465677210, in, 16:51:48:842, 16:52:36:724, 323.212, 47.8817, 1, 2450, 19.4205
247278477959661152, woodlouse, 16:51:48:626, 16:52:21:890, 2.55371e-17, 33.2649, 1, 100, 14.9022
255020866638450161, belong, 16:51:52:759, 16:52:02:121, -9.59136, 9.36223, 1, 50, 0.251469
264445346224138826, family, 16:51:52:759, 16:52:03:744, 0, 10.9849, 1, 200, 0.001471
267035081859179818, vegetative, 16:52:15:267, 16:52:24:513, 0, 9.24631, 1,  - ,  - 
324571710809030130, fare, 16:51:53:499, 16:51:54:822, 0, 1.3237, 1,  - , 1
356567716712097498, cancer, 16:52:13:742, 16:52:21:890, 0, 8.14861, 1,  - ,  - 
371598035767465325, a@1bbd6f0f-b684-468b-abba-0c3080cfd8f1, 16:52:31:248, 16:52:32:843, 0, 1.59495, 1,  - , 0.666667
384797615427064134, ), 16:51:49:527, 16:52:21:191, 0, 31.6637, 0, 150, 0.0014676
395239978047675157, make, 16:51:53:382, 16:52:30:097, -3.99675e-31, 36.7157, 1, 100, 1.00011
403363269517810576, viruses, 16:51:55:476, 16:52:14:990, 0, 19.5135, 0, 50, 0.000600329
403940405704230933, fulfill%2:42:00::, 16:51:53:499, 16:51:54:711, 0, 1.21259, 1,  - , 1
421859122580166243, gather, 16:51:49:864, 16:51:57:876, -4.25482, 8.01208, 1, 50, 0.501463
436593519867491064, different, 16:51:55:359, 16:52:06:977, 0, 11.6177, 1,  - ,  - 
443514927522192133, unlike, 16:51:48:842, 16:52:15:955, 0.661639, 27.1133, 1, 50, 4.33553
454213604292819815, do%2:36:02::, 16:51:48:732, 16:51:51:168, -0.679723, 2.43586, 1,  - , 20.3
462731085577002611, extremely, 16:52:15:267, 16:52:36:724, 27.1282, 21.457, 1,  - ,  - 
473458240976135659, habitats, 16:51:56:416, 16:52:10:422, 0.75304, 14.0062, 0, 50, 0.000793563
480216478043795619, very, 16:52:02:245, 16:52:09:496, 0, 7.25122, 1,  - ,  - 
486914246794951718, feeding, 16:51:50:326, 16:51:57:726, -3.96947, 7.40067, 1, 100, 0.834797
491961656276104423, foliage%1:20:00::, 16:52:29:354, 16:52:32:991, 0, 3.63776, 1,  - , 0.5
510166967647838841, major, 16:52:11:092, 16:52:21:332, 0, 10.24, 1,  - ,  - 
515933874938020247, tasmania, 16:52:08:343, 16:52:29:948, -3.99675e-31, 21.6048, 0, 100, 0.000112613
533049664271630316, similar, 16:51:49:527, 16:52:28:909, -3.99675e-31, 39.382, 1, 150, 2.00098
549817980321782562, comprise, 16:51:49:752, 16:51:57:847, -4.06349, 8.0945, 1, 50, 5.75146
560437915148262375, most%4:02:00::, 16:51:48:626, 16:51:50:326, -2.11843, 1.70017, 1,  - , 13.4132
570014568090093288, stimulant, 16:52:14:294, 16:52:36:724, 19.5233, 22.4299, 1,  - ,  - 
592133629645362317, pericarditis, 16:52:36:132, 16:52:36:724, 2.96454, 0.592324, 1,  - ,  - 
603997172506141692, nervous%3:01:00::, 16:52:29:354, 16:52:32:843, 0, 3.4892, 1,  - , 0.5
616260809976140489, aspirin, 16:52:14:710, 16:52:36:724, 2.87693, 22.0139, 1, 100, 0
627392787385518691, segmented, 16:51:53:865, 16:52:34:638, -3.99675e-31, 40.7735, 0, 100, 0.0001893
630185169451008701, deters, 16:51:50:818, 16:52:01:975, -0.544581, 11.1569, 0, 100, 0.00153219
634900961834177693, wasp-like, 16:51:56:651, 16:52:20:766, 0, 24.1146, 0, 50, 0.000793563
635717653585385898, however.e@0c880f74-f27f-4a41-8e14-0bbaeafb8ef5, 16:51:48:522, 16:52:09:854, 0, 21.3315, 0,  - , 29.1835
643335844547241829, act%2:29:00::, 16:51:48:732, 16:51:51:168, -0.679723, 2.43585, 1,  - , 19.3
645600482995008758, sharpshooters, 16:51:53:110, 16:52:02:121, -9.64837, 9.01065, 0, 50, 0.000793476
647904714864048720, adapted, 16:51:50:326, 16:51:57:726, -3.94166, 7.40067, 0, 100, 0.334797
652044602227365965, terebrantia, 16:51:56:885, 16:52:36:724, 0, 39.8394, 0, 50, 0.000793562
672209744764972597, nevertheless%4:02:00::, 16:51:48:732, 16:51:50:586, -2.29292, 1.85454, 1,  - , 12.7755
690693652329620029, species, 16:51:48:955, 16:52:36:724, 121.642, 47.7689, 1, 1050, 2.33705
691863972454221859, muscles.n@10911b48-8cf2-4435-abdb-a56b0f9c3c3d, 16:51:53:382, 16:52:21:332, 0, 27.9505, 0,  - , 4.25079
695258420851383907, rainbow%1:17:00::, 16:52:27:152, 16:52:28:470, -3.99675e-31, 1.31838, 1,  - , 1.00011
705615012700371067, between, 16:52:32:991, 16:52:36:724, 9.34675, 3.73256, 1,  - ,  - 
725851016664054421, few, 16:51:55:359, 16:52:34:199, 0, 38.8399, 1, 50, 0.000793564
739615200427238714, venoms, 16:52:34:490, 16:52:36:724, 5.4038, 2.23436, 0,  - ,  - 
752359427811986644, hours, 16:52:32:991, 16:52:36:724, 9.06914, 3.73256, 1,  - ,  - 
758278191060126781, extensor_muscle%1:08:00::, 16:52:05:395, 16:52:07:331, 0.0164712, 1.9365, 1,  - , 4.03988
778093571729761199, live, 16:51:57:117, 16:52:34:342, 0, 37.2244, 1, 50, 0.000793564
780409908813373719, diplopodologist, 16:52:01:975, 16:52:25:087, 0, 23.112, 0,  - ,  - 
784871582735838133, 2,400, 16:51:58:004, 16:52:20:766, 0, 22.7622, 0, 50, 0.000793563
786696686280415898, parasitoids, 16:52:06:809, 16:52:22:181, 0, 15.3722, 0,  - ,  - 
818127997033525385, render%2:36:03::, 16:51:53:617, 16:51:54:711, 0, 1.094, 1,  - , 1
818205382273897351, function%2:42:12::, 16:51:53:617, 16:51:54:822, 0, 1.20511, 1,  - , 1.5
820621493569604879, noun, 16:51:53:382, 16:51:54:907, 0, 1.52536, 1,  - , 1
821879334871727856, noun, 16:51:53:228, 16:51:53:617, 0, 0.3889, 0,  - , 16.3333
843269650026189811, ,@11a921b8-ef3d-4c65-a653-02edb383f233, 16:52:30:389, 16:52:33:144, 0, 2.75479, 1,  - , 1.33333
845525061045674168, lack, 16:52:07:777, 16:52:17:925, 0, 10.1478, 1, 50, 0
850906329227103303, females, 16:52:02:466, 16:52:21:748, 0, 19.2824, 0,  - ,  - 
861099616894896101, three, 16:52:10:958, 16:52:21:890, 0, 10.9326, 1, 50, 0
882972761056795330, make%2:36:05::, 16:51:48:626, 16:51:55:247, 0.000976129, 6.62141, 1,  - , 18.5034
888262717835457332, cocaine, 16:52:12:770, 16:52:34:490, -3.99675e-31, 21.7196, 1, 100, 0.000112613
890884128416182975, population, 16:52:02:245, 16:52:11:930, 0, 9.6853, 1, 50, 0.25
894605410781015224, well, 16:52:11:367, 16:52:21:047, 0, 9.68041, 1,  - ,  - 
895207313056305865, produce, 16:52:31:248, 16:52:36:724, 25.4622, 5.47609, 1,  - ,  - 
901311437943647807, serve%2:42:03::, 16:51:53:499, 16:51:54:711, 0, 1.21259, 1,  - , 1
907727305383151137, flatheaded, 16:52:02:991, 16:52:12:204, 0, 9.21305, 0,  - ,  - 
908919334036125398, lectin, 16:52:13:317, 16:52:33:741, -3.99675e-31, 20.4237, 1, 100, 0.000112613
927199144002112699, lepidoptera, 16:51:49:752, 16:51:57:847, -4.17248, 8.0945, 0, 50, 0.66813
931834199310292386, yellow-green, 16:52:14:848, 16:52:22:181, 0, 7.3324, 0,  - ,  - 
941132753778200813, material, 16:51:56:536, 16:52:17:925, 0, 21.3887, 1, 100, 0.000600331
955007819498838415, 3000, 16:51:48:955, 16:52:29:354, -3.99675e-31, 40.3985, 0, 100, 0.00300856
989571012003079425, stick, 16:52:02:991, 16:52:11:793, 0, 8.80141, 1,  - ,  - 
991184983879888201, tagmata, 16:51:57:726, 16:52:14:848, 0, 17.1219, 0, 50, 0.000793566
995323796045413339, LEFT-WALL@sentence@ab2a38e1-c106-4497-b64c-e7c8146e5c93_parse_0, 16:51:48:955, 16:52:29:057, -3.99675e-31, 40.1019, 0,  - , 1.00207
995649309151885606, sold, 16:52:12:609, 16:52:36:724, 18.9092, 24.1147, 1, 200, 0.000112613
1010148474343375818, chemical, 16:52:11:507, 16:52:36:724, 4.77756, 25.2166, 1,  - ,  - 
1057495428784606851, plural, 16:51:53:110, 16:51:53:617, 1.9625e-09, 0.506965, 0,  - , 1.03914
1074446365329293440, findings, 16:52:33:741, 16:52:36:724, 7.11222, 2.98293, 1,  - ,  - 
1079035601456178249, odonata, 16:52:03:379, 16:52:11:930, 0, 8.55069, 0,  - ,  - 
1086437214040261070, 250, 16:51:53:499, 16:52:04:137, -7.94274, 10.6383, 0, 50, 0.667344
1104006330081635263, seeds, 16:52:13:317, 16:52:36:724, 4.12966, 23.4066, 0, 150, 0.000112613
1113997609004476165, near%4:02:03::, 16:51:48:522, 16:51:50:471, -2.1207, 1.94895, 1,  - , 8.01608
1126588524728498078, culture, 16:51:56:061, 16:52:17:790, 0, 21.7284, 1, 100, 0.000793616
1126968259312353295, arrange, 16:51:53:499, 16:51:54:822, 0, 1.3237, 1,  - , 1
1133288255407897353, paracetamol, 16:52:16:943, 16:52:36:724, 2.57707, 19.7806, 1,  - ,  - 
1137316612392934427, execute, 16:51:53:617, 16:51:54:592, 0, 0.974621, 1,  - , 0.5
1138550651636205694, kawasaki, 16:52:36:132, 16:52:36:724, 2.99448, 0.592322, 0,  - ,  - 
1143626411370215669, food, 16:51:56:297, 16:52:29:658, -3.99675e-31, 33.3609, 1, 50, 0.000906177
1152761789654009768, premier%2:36:00::, 16:51:53:738, 16:51:54:711, 0, 0.973578, 1,  - , 1
1153987369686549617, do%2:42:00::, 16:51:48:732, 16:51:51:281, -0.679723, 2.54905, 1,  - , 13.8
1155948712839485660, ricinus, 16:52:13:180, 16:52:34:057, -3.99675e-31, 20.8765, 0, 100, 0.000112613
1181959705405576793, 24,000, 16:52:03:744, 16:52:11:930, 0, 8.18644, 0,  - ,  - 
1188314305423843872, legs, 16:51:58:605, 16:52:30:244, -3.99675e-31, 31.6387, 1, 150, 0.000906207
