0, 0.233766, 0.766234, 0, 0
0.111975, 0.192, 0.808, 0, 0
0.215613, 0.216, 0.784, 0, 0
0.321354, 0.35, 0.65, 0, 0
0.428693, 0.396, 0.604, 0, 0
0.536552, 0.408, 0.592, 0, 0
0.648566, 0.564, 0.436, 0, 0
0.760397, 0.61, 0.39, 0, 0.078
0.872099, 0.602, 0.398, 0, 0.078
0.983865, 0.588, 0.412, 0, 0.078
1.09896, 0.588, 0.412, 0, 0.078
1.20973, 0.572, 0.428, 0, 0.078
1.32415, 0.746, 0.254, 0, 0.078
1.43738, 0.726, 0.274, 0, 0.078
1.55026, 0.69, 0.31, 0, 0.078
1.66465, 0.668, 0.332, 0, 0.078
1.7791, 0.63, 0.37, 0, 0.078
1.89365, 0.66, 0.34, 0, 0.078
2.00748, 0.676, 0.324, 0, 0.078
2.13211, 0.658, 0.342, 0, 0.078
2.24656, 0.656, 0.344, 0, 0.078
2.36129, 0.634, 0.366, 0, 0.078
2.47544, 0.616, 0.384, 0, 0.078
2.58786, 0.608, 0.392, 0, 0.078
2.70451, 0.608, 0.392, 0, 0.078
2.82288, 0.62, 0.38, 0, 0.078
2.93984, 0.61, 0.39, 0, 0.05
3.06121, 0.61, 0.39, 0, 0.024
3.1778, 0.618, 0.382, 0, 0
3.29664, 0.62, 0.38, 0, 0
3.41733, 0.622, 0.378, 0, 0
3.53319, 0.62, 0.38, 0, 0
3.65315, 0.62, 0.38, 0, 0
3.77053, 0.614, 0.386, 0, 0
3.89014, 0.686, 0.314, 0, 0
4.01147, 0.718, 0.282, 0, 0
4.1333, 0.718, 0.282, 0, 0
4.20625, 0.716, 0.284, 0, 0
4.32592, 0.708, 0.292, 0, 0
4.44383, 0.708, 0.292, 0, 0
4.56464, 0.712, 0.288, 0, 0
4.68461, 0.704, 0.296, 0, 0
4.80187, 0.698, 0.302, 0, 0
4.92053, 0.694, 0.306, 0, 0
5.04322, 0.668, 0.332, 0, 0
5.16058, 0.634, 0.366, 0, 0
5.27764, 0.614, 0.386, 0, 0
5.39536, 0.592, 0.408, 0, 0
5.5111, 0.568, 0.432, 0, 0
5.63246, 0.536, 0.464, 0, 0
5.74841, 0.52, 0.48, 0, 0
5.86602, 0.514, 0.486, 0, 0
5.98082, 0.504, 0.496, 0, 0
6.09776, 0.498, 0.502, 0, 0
6.21301, 0.504, 0.496, 0, 0
6.32871, 0.522, 0.478, 0, 0
6.45321, 0.518, 0.482, 0, 0
6.57553, 0.498, 0.502, 0, 0
6.70217, 0.46, 0.54, 0, 0
6.82203, 0.466, 0.534, 0, 0.008
6.93655, 0.478, 0.522, 0, 0.01
7.05499, 0.474, 0.526, 0, 0.016
7.17632, 0.484, 0.516, 0, 0.03
7.29667, 0.478, 0.522, 0, 0.03
7.41185, 0.464, 0.536, 0, 0.024
7.537, 0.452, 0.548, 0, 0.026
7.65835, 0.438, 0.562, 0, 0.02
7.77263, 0.422, 0.578, 0, 0.01
7.89265, 0.42, 0.58, 0, 0.002
8.00859, 0.428, 0.572, 0, 0.002
8.11868, 0.426, 0.574, 0, 0.002
8.24359, 0.408, 0.592, 0, 0
8.3682, 0.378, 0.622, 0, 0
8.48473, 0.338, 0.662, 0, 0
8.60915, 0.308, 0.692, 0, 0
8.72525, 0.254, 0.746, 0, 0
8.82433, 0.248, 0.752, 0, 0
8.94744, 0.244, 0.756, 0, 0
