TOTAL_STIMULUS_REC: 708
NLP_parse_percentage_in_AF: 0
Logged_at: 08:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 1
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 16:24:47:133, 16:25:00:588, -7.13985, 13.4556, 1, 300, 1.83413
18234338450534248, bottom%1:08:00::, 16:25:12:892, 16:25:13:041, 1.34447e-08, 0.148996, 1,  - , 1
37290646629144383, exists, 16:25:07:249, 16:25:16:654, 0, 9.40422, 0, 100, 0.000385421
47153927320151812, nigh%4:02:01::, 16:24:45:351, 16:24:47:943, -1.30733, 2.59247, 1,  - , 8.71517
58517991076101478, efficient, 16:25:31:697, 16:25:34:054, 4.78312, 2.35671, 1,  - ,  - 
129180190883819739, other, 16:24:47:600, 16:25:34:054, 2.36696, 46.4534, 1, 600, 0.334057
129572895285309251, can, 16:24:46:223, 16:25:34:054, 32.3903, 47.8308, 1, 900, 38.2508
179767431985896456, genus, 16:25:02:765, 16:25:32:811, 0, 30.0463, 1, 100, 0.000385442
202881739077444634, ,@289d711a-8e9c-47b8-8898-ef4d66fb36f0, 16:24:45:351, 16:25:31:553, 0.0130214, 46.2016, 0,  - , 46.6507
210434859087051122, eyes, 16:25:00:449, 16:25:07:249, 0, 6.80052, 1, 100, 0
220593594229903801, sentence@388ef473-e6d5-4905-87fb-0d95f2848ee0, 16:24:50:871, 16:24:51:941, 5.96247e-07, 1.06966, 0,  - , 22.6667
224914245004177916, ., 16:24:45:239, 16:25:34:054, 935.005, 48.8146, 0, 14700, 1049.32
237818391852663106, exotoxin, 16:25:08:227, 16:25:16:654, 0, 8.4265, 1, 100, 0.00038542
238713097465677210, in, 16:24:45:560, 16:25:34:054, 325.623, 48.4933, 1, 4900, 87.3345
247278477959661152, woodlouse, 16:24:45:351, 16:25:34:054, 2.66461, 48.7027, 1, 200, 42.4558
252168947311652731, move%2:36:00::, 16:24:51:568, 16:24:52:294, 6.00458e-10, 0.726311, 1,  - , 1
255020866638450161, belong, 16:24:49:565, 16:25:02:067, -7.41701, 12.5023, 1, 100, 0.50059
264445346224138826, family, 16:24:49:565, 16:25:07:384, 0, 17.8194, 1, 400, 0.000717203
267035081859179818, vegetative, 16:25:11:857, 16:25:23:480, 0, 11.6231, 1, 100, 0.000328808
273156185407028256, no%4:02:01::, 16:25:21:264, 16:25:30:121, 0, 8.85726, 1,  - , 4.24091
356567716712097498, cancer, 16:25:10:211, 16:25:32:503, 0, 22.2925, 1, 100, 0.000385429
379491041915529470, muscles.n@a05e56bc-e9f1-4899-a40a-6f294b26ce5b, 16:24:54:063, 16:25:34:054, 15.6857, 39.9904, 0,  - , 10.6672
383366309441692753, inward%4:02:01::, 16:25:29:480, 16:25:34:054, 0, 4.57404, 1,  - , 1.5
384797615427064134, ), 16:24:46:223, 16:25:22:134, 0, 35.911, 0, 300, 0.00121165
395239978047675157, make, 16:24:51:452, 16:25:33:747, 0, 42.2952, 1, 200, 1.00039
403363269517810576, viruses, 16:24:52:415, 16:24:53:848, 1.37387, 1.43279, 0,  - ,  - 
