TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 1
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 16:11:23:105, 16:11:42:636, 32.6199, 19.5306, 1, 150, 0.000956607
47153927320151812, nigh%4:02:01::, 16:11:21:526, 16:11:35:595, 0.000495812, 14.0685, 1,  - , 66.4419
129180190883819739, other, 16:11:23:585, 16:11:42:636, 16.7834, 19.051, 1, 200, 0.000896
129572895285309251, can, 16:11:22:296, 16:11:42:636, 44.461, 20.3401, 1, 300, 7.33577
179767431985896456, genus, 16:11:39:203, 16:11:42:636, 6.94448, 3.43303, 1,  - ,  - 
210434859087051122, eyes, 16:11:36:657, 16:11:39:330, 1.38645, 2.67232, 1,  - ,  - 
224914245004177916, ., 16:11:21:422, 16:11:42:636, 208.762, 21.2135, 0, 4850, 1278.62
238713097465677210, in, 16:11:21:738, 16:11:42:636, 215.259, 20.8976, 1, 1200, 52.503
247278477959661152, woodlouse, 16:11:21:422, 16:11:42:636, 8.59389, 21.2135, 1, 100, 28.3399
252168947311652731, move%2:36:00::, 16:11:35:984, 16:11:36:133, 1.99608e-11, 0.148219, 1,  - , 1
255020866638450161, belong, 16:11:25:415, 16:11:41:078, 1.15692, 15.6629, 1, 50, 0.000146922
264445346224138826, family, 16:11:25:415, 16:11:42:636, 26.4789, 17.2209, 1, 200, 0.000818721
324571710809030130, fare, 16:11:35:595, 16:11:36:133, 8.48335e-11, 0.53784, 1,  - , 0.5
384797615427064134, ), 16:11:22:296, 16:11:42:636, 2.71075, 20.3401, 0, 150, 0.668955
395239978047675157, make, 16:11:35:984, 16:11:42:636, 6.62214, 6.65128, 1, 100, 0.5
403363269517810576, viruses, 16:11:28:125, 16:11:36:657, 0, 8.53182, 0, 50, 7.86164e-05
421859122580166243, gather, 16:11:22:645, 16:11:42:636, 16.9413, 19.9908, 1, 50, 0.000414416
436593519867491064, different, 16:11:28:002, 16:11:36:786, 0, 8.78372, 1, 50, 7.86164e-05
443514927522192133, unlike, 16:11:21:738, 16:11:28:125, 3.01758e-05, 6.38725, 1, 50, 52.6695
454213604292819815, do%2:36:02::, 16:11:22:069, 16:11:28:125, -0.723934, 6.05637, 1,  - , 1.27014
473458240976135659, habitats, 16:11:29:085, 16:11:35:854, 0, 6.76899, 0, 50, 7.86164e-05
480216478043795619, very, 16:11:35:084, 16:11:39:737, 1.07236, 4.65239, 1, 50, 0
486914246794951718, feeding, 16:11:23:105, 16:11:42:636, 26.0118, 19.5306, 1, 100, 0.000956607
515933874938020247, tasmania, 16:11:41:475, 16:11:42:636, 10.8015, 1.16123, 0,  - ,  - 
533049664271630316, similar, 16:11:22:296, 16:11:42:636, 6.66459, 20.3401, 1, 150, 109.669
549817980321782562, comprise, 16:11:22:529, 16:11:25:759, 3.01758e-05, 3.23014, 1, 50, 0.000335793
560437915148262375, most%4:02:00::, 16:11:21:526, 16:11:35:210, 0.000495812, 13.6833, 1,  - , 91.4419
615885963742162127, create%2:36:00::, 16:11:35:854, 16:11:35:984, 1.99608e-11, 0.130256, 1,  - , 0.5
627392787385518691, segmented, 16:11:26:584, 16:11:42:636, 7.67538, 16.0514, 0, 100, 7.86164e-05
630185169451008701, deters, 16:11:23:585, 16:11:42:636, 4.36712, 19.051, 0, 100, 0.000224202
634900961834177693, wasp-like, 16:11:29:324, 16:11:35:854, 0, 6.53007, 0, 50, 7.86164e-05
643335844547241829, act%2:29:00::, 16:11:22:181, 16:11:28:125, -0.72326, 5.94458, 1,  - , 1.26943
645600482995008758, sharpshooters, 16:11:25:759, 16:11:38:539, 0, 12.7798, 0, 50, 0.000146922
647904714864048720, adapted, 16:11:23:105, 16:11:42:636, 25.5614, 19.5306, 0, 100, 0.000284808
652044602227365965, terebrantia, 16:11:29:563, 16:11:35:854, 0, 6.29098, 0, 50, 7.86164e-05
672209744764972597, nevertheless%4:02:00::, 16:11:22:181, 16:11:37:186, 1.18367e-12, 15.0052, 1,  - , 27.5004
690693652329620029, species, 16:11:21:845, 16:11:42:636, 162.486, 20.7908, 1, 1050, 4.91963
725851016664054421, few, 16:11:28:002, 16:11:36:919, 0, 8.91744, 1, 50, 7.86164e-05
758278191060126781, extensor_muscle%1:08:00::, 16:11:38:667, 16:11:38:667, 1.03051e-13, 0, 1,  - , 3.5
778093571729761199, live, 16:11:29:812, 16:11:36:657, 0, 6.84531, 1, 50, 7.86164e-05
780409908813373719, diplopodologist, 16:11:34:703, 16:11:40:146, 2.113, 5.44267, 0, 50, 0
784871582735838133, 2,400, 16:11:30:697, 16:11:36:657, 0, 5.96, 0, 50, 7.86164e-05
786696686280415898, parasitoids, 16:11:39:862, 16:11:42:636, 5.7592, 2.77407, 0,  - ,  - 
821879334871727856, noun, 16:11:25:528, 16:11:33:926, 0, 8.39859, 0,  - , 18.5666
845525061045674168, lack, 16:11:40:943, 16:11:42:636, 5.91511, 1.69226, 1,  - ,  - 
847279428589396484, facilitate%2:36:03::, 16:11:35:984, 16:11:36:133, 1.99608e-11, 0.148218, 1,  - , 1
850906329227103303, females, 16:11:35:333, 16:11:39:479, 1.57353, 4.14656, 0, 50, 0
