TOTAL_STIMULUS_REC: 708
NLP_parse_percentage_in_AF: 0
Logged_at: 08:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 1
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 16:17:38:483, 16:18:21:176, 0, 42.6932, 1, 150, 2.16717
11582331029630770, quack%2:29:00::, 16:17:42:694, 16:17:43:242, 0, 0.547654, 1,  - , 0.5
37290646629144383, exists, 16:17:59:335, 16:18:06:111, 0.667135, 6.77617, 0, 50, 0
47153927320151812, nigh%4:02:01::, 16:17:36:997, 16:17:39:532, 0, 2.53417, 1,  - , 9.33707
58517991076101478, efficient, 16:18:25:251, 16:18:27:615, 5.99187, 2.36426, 1,  - ,  - 
78460523621454840, break_down%2:37:00::, 16:17:42:814, 16:17:43:242, 0, 0.427687, 1,  - , 0.5
87866352193253505, wanton%2:29:00::, 16:17:42:814, 16:17:43:242, 0, 0.427687, 1,  - , 0.5
91456556514356766, globe%1:17:00::, 16:18:13:076, 16:18:15:813, 0, 2.7366, 1,  - , 3.5
113815834306853044, symbolas, 16:18:27:615, 16:18:27:615, 2.0316, 0, 0,  - ,  - 
129180190883819739, other, 16:17:38:967, 16:18:27:615, 3.91295, 48.6479, 1, 300, 0.000143281
129572895285309251, can, 16:17:37:674, 16:18:27:615, 27.9897, 49.9409, 1, 450, 87.4175
131434964540497971, pressure%1:26:01::, 16:17:41:504, 16:17:41:746, 0, 0.242177, 1,  - , 16.5
154462855909404017, act_reflexively%2:29:00::, 16:17:42:814, 16:17:43:357, 0, 0.542711, 1,  - , 0.5
179767431985896456, genus, 16:17:54:787, 16:18:08:763, 0, 13.9753, 1,  - ,  - 
189515668651138441, improvize%2:36:00::, 16:17:42:572, 16:17:43:357, 0, 0.785214, 1,  - , 1
210434859087051122, eyes, 16:17:52:258, 16:18:05:197, 0, 12.9392, 1, 50, 0
224914245004177916, ., 16:17:36:893, 16:18:27:615, 977.162, 50.7216, 0, 7350, 74.9862
237818391852663106, exotoxin, 16:18:00:311, 16:18:26:854, 0, 26.5437, 1, 50, 0
238713097465677210, in, 16:17:37:218, 16:18:27:615, 316.402, 50.397, 1, 2450, 33.251
247278477959661152, woodlouse, 16:17:36:997, 16:18:11:629, 0, 34.6317, 1, 100, 22.3912
252168947311652731, move%2:36:00::, 16:17:42:101, 16:17:43:589, 0, 1.48821, 1,  - , 1.5
255020866638450161, belong, 16:17:41:085, 16:17:51:368, -11.2914, 10.2829, 1, 50, 0.500081
264445346224138826, family, 16:17:41:085, 16:18:24:328, 0, 43.2432, 1, 200, 0.250081
